Patients;Deaths;Agegroup;PatientsFemales;PatientsMales;PeriodMonths;Periodfrom;Periodto;Periodmean;Mergesplit;Firstauthor;Studyauthor;Studytype;SingleMulticentre;Country;Region;Income;Interval;Pathogen;Streppneumoniae;Neismeningitidis;HaemophInfluenzae;Listeria;Eschcoli;GBS;Staphaureus;Enterobacter;Pseudomonas;Klebsielapneumoniae;Other;Unidentified;Streppneumoniae_A;Neismeningitidis_A;HaemophInfluenzae_A;Listeria_A;Eschcoli_A;GBS_A;Staphaureus_A;Enterobacter_A;Pseudomonas_A;Klebsielapneumoniae_A;Other_A;Unidentified_A;CfrCalc;CfrUci;CfrLci;Mortalityrate;MortalityRateSE
47;2;Not specified;NA;NA;107;1983-01-01;1991-12-01;1987;split time;Ballantyne;Ballantyne (1993) [1983–1991];Observational;single centre;United Kingdom;Europe;high;1981–1990;na;14;3;1;5;1;NA;2;NA;NA;NA;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0425531914893617;0.10152890600534607;-0.016422523026622685;4.25531914893617;0.030089650263257335
944;37;Children;275;665;59.96774193548387;2006-01-01;2010-12-31;2008;split time;Banajeh;Banajeh (2014) [2006–2010];Observational;single centre;Yemen;Asia;low;2001–2010;na;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.03919491525423729;0.05182437982985647;0.026565450678618107;3.919491525423729;0.00644360437531591
1336;128;Children;472;864;59.96774193548387;2000-01-01;2004-12-31;2002;split time;Banajeh;Banajeh (2014) [2000–2004];Observational;single centre;Yemen;Asia;low;2001–2010;na;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.09580838323353294;0.11240633881587585;0.07921042765119003;9.580838323353294;0.008468344684868831
87;19;Adults;NA;NA;131.96774193548387;1988-01-01;1998-12-31;1993;No merge and no split;Barboza;Barboza (2002) [1988–1998];Observational;single centre;Argentina;S-America;high;1991–2000;na;45;4;NA;NA;1;NA;NA;NA;NA;NA;18;19;12;0;NA;NA;0;NA;NA;NA;NA;NA;5;2;0.21839080459770116;0.3165912865441347;0.12019032265126757;21.839080459770116;0.05010228670736407
199;20;Children;72;127;11.967741935483872;2012-01-01;2012-12-31;2012;No merge and no split;Bari;Bari (2016) [2012–2012];Observational;single centre;Pakistan;Asia;low;After 2010;na;5;NA;2;NA;1;2;NA;NA;NA;NA;14;175;2;NA;0;NA;0;1;NA;NA;NA;NA;2;15;0.10050251256281408;0.14454968076280994;0.05645534436281822;10.050251256281408;0.02247304499999789
147;49;Adults;67;80;95.96774193548387;2003-01-01;2010-12-31;2006;No merge and no split;Baunbaek;Baunbaek (2016) [2003–2010];Observational;multicentre;Denmark;Europe;high;2001–2010;na;71;7;NA;10;NA;NA;8;NA;NA;NA;14;37;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.3333333333333333;0.42666666666666664;0.24;33.33333333333333;0.047619047619047616
60;40;Adults;NA;NA;45;1999-04-01;2003-01-01;2001;No merge and no split;Bekondi;Bekondi (2005) [1999–2003];Observational;single centre;Central African Rep.;Africa;low;1991–2000;na;26;15;NA;NA;1;NA;NA;NA;NA;NA;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6666666666666666;0.8732688071310007;0.4600645262023325;66.66666666666666;0.10540925533894598
41;20;Neonates;22;19;167.96774193548387;1973-01-01;1986-12-31;1980;No merge and no split;Bell;Bell (1989) [1973–1986];Observational;single centre;Ireland;Europe;high;1971–1980;na;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.4878048780487805;0.7015947919951019;0.2740149641024591;48.78048780487805;0.10907648670730682
44;7;Neonates;NA;NA;179.96774193548387;1996-01-01;2010-12-31;2003;No merge and no split;Ben Hamouda;Ben Hamouda (2013) [1996–2010];Observational;single centre;Tunisia;Africa;high;2001–2010;na;1;NA;1;NA;2;10;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.1590909090909091;0.2769471038565136;0.0412347143253046;15.909090909090908;0.06013071161510434
17;5;Neonates;NA;NA;71.96774193548387;1979-01-01;1984-12-31;1981;No merge and no split;Benderly;Benderly (1986) [1979–1984];Observational;multicentre;Israel;Asia;high;1971–1980;na;5;4;1;NA;4;2;NA;NA;NA;NA;1;NA;0;1;0;NA;2;1;NA;NA;NA;NA;1;NA;0.29411764705882354;0.5519231315235051;0.036312162594141904;29.411764705882355;0.1315334104411641
35;10;Neonates;16;19;11.967741935483872;1976-01-01;1976-12-31;1976;split time;Bennhagen;Bennhagen (1987) [1976–1976];Observational;multicentre;Sweden;Europe;high;1971–1980;na;1;NA;1;1;7;20;NA;NA;NA;NA;5;NA;0;NA;0;0;5;4;NA;NA;NA;NA;1;NA;0.2857142857142857;0.46280183468371494;0.10862673674485647;28.57142857142857;0.09035079029052513
17;1;Neonates;8;9;11.967741935483872;1983-01-01;1983-12-31;1983;split time;Bennhagen;Bennhagen (1987) [1983–1983];Observational;multicentre;Sweden;Europe;high;1981–1990;na;1;NA;NA;1;NA;9;NA;NA;NA;NA;6;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;1;NA;0.058823529411764705;0.17411764705882352;-0.05647058823529411;5.88235294117647;0.0588235294117647
21;6;Neonates;8;13;119.96774193548387;1997-01-01;2006-12-31;2001;No merge and no split;Bentlin;Bentlin (2010) [1997–2006];Observational;single centre;Brazil;S-America;high;1991–2000;na;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.2857142857142857;0.514333328374049;0.05709524305452245;27.27272727272727;0.11664236870396086
130;51;Neonates and children;NA;NA;11.966666666666667;2004-10-01;2005-09-30;2005;No merge and no split;Bercion;Bercion (2008) [2004–2005];Observational;single centre;Central African Rep.;Africa;low;2001–2010;na;62;8;46;NA;NA;3;NA;NA;NA;NA;11;NA;29;1;15;NA;NA;0;NA;NA;NA;NA;6;NA;0.3923076923076923;0.49997845938418456;0.28463692523120016;39.23076923076923;0.054934064834945
921;85;Not specified;NA;NA;35.96774193548387;1987-01-01;1989-12-31;1988;No merge and no split;Berg;Berg (1996) [1987–1989];Observational;multicentre;Sweden;Europe;high;1981–1990;na;306;159;456;NA;NA;NA;NA;NA;NA;NA;NA;NA;72;4;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.09229098805646037;0.11191129982225197;0.07267067629066877;9.229098805646037;0.01001036314581204
64;27;Children and adults;24;40;11;1994-05-01;1995-04-01;1994;No merge and no split;Bergemann;Bergemann (1996) [1994–1995];Observational;single centre;South Africa;Africa;low;1991–2000;na;23;4;2;NA;NA;NA;NA;NA;NA;NA;7;28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.421875;0.5810071679453905;0.2627428320546094;42.1875;0.08118988160479111
45;15;Children;NA;NA;11.96551724137931;1999-03-01;2000-02-29;1999;No merge and no split;Berkley;Berkley (2001) [1999–2000];Observational;single centre;Kenya;Africa;low;1991–2000;na;18;NA;19;NA;NA;1;NA;NA;1;NA;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.3333333333333333;0.502023274634812;0.16464339203185474;33.33333333333333;0.08606629658238706
29;28;Neonates;7;22;84;1958-01-01;1965-01-01;1961;No merge and no split;Berman;Berman (1966) [1958–1965];Observational;multicentre;United States;N-America;high;Before 1961;na;0;NA;NA;1;11;1;2;NA;2;NA;11;1;0;NA;NA;1;10;1;2;NA;2;NA;11;1;0.9655172413793104;1.323149832392179;0.6078846503664415;96.55172413793103;0.18246560765962694
122;14;Adults;NA;NA;29.967741935483872;1998-07-01;2000-12-31;1999;split age;Beyrer;Beyrer (2002) [1998–2000];Observational;multicentre;Germany;Europe;high;1991–2000;na;28;26;0;8;3;3;11;NA;NA;NA;5;38;6;1;0;0;1;0;3;NA;NA;NA;NA;3;0.11475409836065574;0.17486597113177807;0.054642225589533404;11.475409836065573;0.030669322842409353
134;6;Neonates and children;NA;NA;29.967741935483872;1998-07-01;2000-12-31;1999;split age;Beyrer;Beyrer (2002) [1998–2000];Observational;multicentre;Germany;Europe;high;1991–2000;na;23;45;2;0;2;9;3;0;0;0;5;45;2;0;0;0;0;0;0;0;0;0;1;3;0.04477611940298507;0.08060447683473902;0.00894776197123113;4.477611940298507;0.018279774199874463
256;78;Children;104;152;107.96774193548387;1972-01-01;1980-12-31;1976;No merge and no split;Bhat;Bhat (1989) [1972–1980];NA;single centre;India;Asia;low;1971–1980;na;54;NA;6;NA;3;NA;NA;NA;NA;NA;26;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.3046875;0.3723056691328226;0.2370693308671774;30.46875;0.03449906588409316
22;13;Neonates;8;14;132.96774193548387;1967-05-01;1978-05-31;1972;No merge and no split;Bieler;Bieler (1979) [1967–1978];Observational;single centre;Switzerland;Europe;high;1971–1980;na;1;NA;NA;4;6;6;NA;NA;NA;NA;5;NA;1;NA;NA;1;4;4;NA;NA;NA;NA;3;NA;0.5909090909090909;0.9121309318140645;0.26968725000411736;59.09090909090909;0.1638886943392722
75;14;Adults;39;36;59.96774193548387;1998-01-01;2002-12-31;2000;split time;Bodilsen;Bodilsen (2014) [1998–2002];Observational;multicentre;Denmark;Europe;high;1991–2000;na;33;22;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.18666666666666668;0.284448646374359;0.08888468695897433;NA;0.04988876515698589
97;19;Adults;49;48;119.96774193548387;2003-01-01;2012-12-31;2008;split time;Bodilsen;Bodilsen (2014) [2003–2012];Observational;multicentre;Denmark;Europe;high;2001–2010;na;59;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.1958762886597938;0.28395300958082187;0.10779956773876576;NA;0.0449371025107286
90;12;Children;38;52;47.96774193548387;1988-01-01;1991-12-31;1989;No merge and no split;Boehme;Boehme (1993) [1988–1991];Interventional;single centre;Chile;S-America;high;1981–1990;na;26;9;34;NA;NA;2;NA;NA;NA;NA;3;16;4;1;6;NA;NA;1;NA;NA;NA;NA;0;0;0.13333333333333333;0.20877376850744445;0.05789289815922224;13.333333333333334;0.03849001794597505
479;72;Adults;235;244;131.96774193548387;1966-01-01;1976-12-31;1971;split age;Bohr;Bohr (1983) [1966–1976];Observational;single centre;Denmark;Europe;high;1961–1970;na;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.15031315240083507;0.18503371919312647;0.11559258560854363;15.031315240083506;0.017714574894026235
396;21;Neonates and children;154;242;131.96774193548387;1966-01-01;1976-12-31;1971;split age;Bohr;Bohr (1983) [1966–1976];Observational;single centre;Denmark;Europe;high;1961–1970;na;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.05303030303030303;0.07571173828816527;0.030348867772440793;5.303030303030303;0.01157216084584808
1935;304;Not specified;NA;NA;47.96774193548387;2003-01-01;2006-12-31;2004;No merge and no split;Boisier;Boisier (2007) [2003–2006];Observational;multicentre;Niger;Africa;low;2001–2010;na;303;1496;105;NA;NA;NA;NA;NA;NA;NA;31;NA;151;111;32;NA;NA;NA;NA;NA;NA;NA;10;NA;0.15710594315245477;0.17476680502189088;0.13944508128301866;15.710594315245476;0.009010643810936789
288;6;Children;NA;NA;155.96774193548387;1984-01-01;1996-12-31;1990;No merge and no split;Bonsu;Bonsu (2001) [1984–1996];Observational;single centre;United States;N-America;high;1981–1990;na;68;59;154;NA;NA;NA;NA;NA;NA;NA;7;NA;2;0;4;NA;NA;NA;NA;NA;NA;NA;0;NA;0.020833333333333332;0.037503471860607734;0.004163194806058929;2.083333333333333;0.008505172717997144
595;52;Not specified;240;355;3;2001-01-01;2001-04-01;2001;No merge and no split;Bregani;Bregani (2006) [2001–2001];Observational;single centre;Chad;Africa;low;1991–2000;na;150;29;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;16;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.08739495798319327;0.11114917815095603;0.06364073781543053;8.739495798319327;0.01211950008559324
80;31;Adults;NA;NA;143;1981-01-01;1992-12-01;1986;No merge and no split;Brivet;Brivet (1993) [1981–1992];Observational;single centre;France;Europe;high;1981–1990;na;27;6;NA;6;NA;3;6;NA;NA;NA;7;16;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.3875;0.5239102268893355;0.25108977311066444;38.75;0.06959705453537528
14;1;Adults;8;6;11.966666666666667;2015-07-01;2016-06-30;2015;No merge and no split;Brown;Brown (2019) [2015–2016];Observational;single centre;United States;N-America;high;After 2010;na;3;NA;1;NA;NA;1;NA;NA;NA;NA;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;0.07142857142857142;0.2114285714285714;-0.06857142857142856;7.142857142857142;0.07142857142857142
900;261;Adults;NA;NA;119.96774193548387;1973-01-01;1982-12-31;1977;split age;Bryan;Bryan (1990) [1973–1982];Observational;single centre;Brazil;S-America;high;1971–1980;na;195;262;19;NA;NA;NA;NA;23;2;NA;195;204;101;47;8;NA;NA;NA;NA;22;1;NA;35;47;0.29;0.3251830767399454;0.25481692326005456;28.999999999999996;0.01795054935711501
2949;947;Children;NA;NA;119.96774193548387;1973-01-01;1982-12-31;1977;split age;Bryan;Bryan (1990) [1973–1982];Observational;single centre;Brazil;S-America;high;1971–1980;na;435;614;876;NA;NA;NA;NA;73;7;NA;413;513;254;70;320;NA;NA;NA;NA;58;6;NA;119;120;0.3211258053577484;0.3415787709764131;0.3006728397390837;32.11258053577484;0.010435186540135047
124;104;Neonates;NA;NA;119.96774193548387;1973-01-01;1982-12-31;1977;split age;Bryan;Bryan (1990) [1973–1982];Observational;single centre;Brazil;S-America;high;1971–1980;na;40;5;3;NA;NA;NA;NA;40;4;NA;16;16;36;2;3;NA;NA;NA;NA;37;4;NA;12;10;0.8387096774193549;0.9999044878490622;0.6775148669896475;83.87096774193549;0.08224225021923845
37;2;Not specified;NA;NA;11.967741935483872;2017-02-01;2018-01-31;2017;No merge and no split;Bumburidi;Bumburidi (2021) [2017–2018];Observational;single centre;Kazakhstan;Asia;high;After 2010;na;10;21;3;1;NA;NA;NA;NA;NA;NA;2;NA;0;1;0;1;NA;NA;NA;NA;NA;NA;0;NA;0.05405405405405406;0.12896915087165584;-0.02086104276354774;5.405405405405405;0.03822198817224581
100;9;Not specified;NA;NA;59.96774193548387;2006-01-01;2010-12-31;2008;No merge and no split;Butsashvili;Butsashvili (2013) [2006–2010];Observational;multicentre;Georgia;Europe;high;2001–2010;na;67;16;17;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.09;0.1488;0.031200000000000002;9;0.029999999999999995
675;124;Adults;NA;NA;359.96774193548384;1977-01-01;2006-12-31;1992;No merge and no split;Cabellos;Cabellos (2009) [1977–2006];Observational;single centre;Spain;Europe;high;1991–2000;na;218;240;NA;40;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.1837037037037037;0.21603797970710173;0.15136942770030565;NA;0.01649707959357043
4177;641;Not specified;NA;NA;95.96774193548387;1989-01-01;1996-12-31;1992;No merge and no split;Campagne;Campagne (1999) [1989–1996];Observational;multicentre;Niger;Africa;low;1991–2000;na;405;2843;306;NA;NA;NA;NA;NA;NA;NA;103;520;179;239;110;NA;NA;NA;NA;NA;NA;NA;40;73;0.1534594206368207;0.16533953471213667;0.1415793065615047;15.345942063682068;0.0060612826914877484
209;83;Not specified;NA;NA;120;1950-01-01;1960-01-01;1955;No merge and no split;Carpenter;Carpenter (1962) [1950–1960];Observational;single centre;United States;N-America;high;Before 1961;na;63;53;35;NA;9;NA;8;NA;3;NA;38;NA;37;7;6;NA;7;NA;5;NA;1;NA;20;NA;0.39712918660287083;0.4825667455269035;0.3116916276788381;39.71291866028708;0.04359059128777178
83;13;Not specified;NA;NA;35.96774193548387;1988-08-01;1991-07-31;1990;No merge and no split;Carroll;Carroll (1994) [1988–1991];Observational;single centre;Vanuatu;Oceania;low;1981–1990;na;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.1566265060240964;0.2417696445772219;0.07148336747097087;15.66265060240964;0.04344037681281914
285;34;Neonates and children;NA;NA;192;1946-01-01;1962-01-01;1954;split time;Carter;Carter (1990) [1946–1962];Observational;multicentre;United Kingdom;Europe;high;Before 1961;na;31;133;26;NA;NA;NA;NA;NA;NA;NA;12;83;5;13;NA;NA;NA;NA;NA;NA;NA;NA;7;4;0.11929824561403508;0.15939882706630454;0.07919766416176564;11.929824561403509;0.020459480332790533
274;5;Neonates and children;NA;NA;192;1971-01-01;1987-01-01;1979;split time;Carter;Carter (1990) [1971–1987];Observational;multicentre;United Kingdom;Europe;high;1971–1980;na;17;82;101;NA;NA;NA;NA;NA;NA;NA;4;70;0;1;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0.01824817518248175;0.03424340597043645;0.0022529443945270523;1.824817518248175;0.008160832034670766
186;29;Adults;76;110;78;1996-06-01;2002-12-01;1999;No merge and no split;Celal;Celal (2004) [1996–2002];Observational;single centre;Turkey;Europe;high;1991–2000;na;19;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.15591397849462366;0.21266087646227758;0.09916708052696976;15.591397849462366;0.028952498963088727
