Patients;Deaths;Agegroup;PatientsFemales;PatientsMales;PeriodMonths;Periodfrom;Periodto;Periodmean;Mergesplit;Firstauthor;Studyauthor;Studytype;SingleMulticentre;Country;Region;Income;Interval;Pathogen;Streppneumoniae;Neismeningitidis;HaemophInfluenzae;Listeria;Eschcoli;GBS;Staphaureus;Enterobacter;Pseudomonas;Klebsielapneumoniae;Other;Unidentified;Streppneumoniae_A;Neismeningitidis_A;HaemophInfluenzae_A;Listeria_A;Eschcoli_A;GBS_A;Staphaureus_A;Enterobacter_A;Pseudomonas_A;Klebsielapneumoniae_A;Other_A;Unidentified_A;CfrCalc;CfrUci;CfrLci;Mortalityrate;MortalityRateSE
71;16;Adults;26;45;116.96774193548387;1998-04-01;2007-12-31;2003;No merge and no split;Ishihara;Ishihara (2009) [1998–2007];Observational;multicentre;Japan;Asia;high;2001–2010;na;20;NA;4;2;NA;NA;16;NA;NA;4;25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.22535211267605634;0.335774647887324;0.11492957746478874;22.535211267605636;0.05633802816901409
13;1;Neonates and children;NA;NA;131;1984-01-01;1994-12-01;1989;No merge and no split;Ichiyama;Ichiyama (1996) [1984–1994];Observational;single centre;Japan;Asia;high;1981–1990;na;2;NA;8;1;1;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;0.07692307692307693;0.2276923076923077;-0.07384615384615385;7.6923076923076925;0.07692307692307693
52;12;Neonates;NA;NA;33;1993-01-01;1995-10-01;1994;No merge and no split;Daoud;Daoud (1999) [1993–1995];Interventional;single centre;Jordan;Asia;high;1991–2000;na;NA;2;NA;NA;4;3;4;9;NA;23;6;NA;NA;0;NA;NA;2;0;0;3;NA;5;2;NA;0.23076923076923078;0.3613392147244231;0.1001992468140385;23.076923076923077;0.06661733875264914
45;15;Children;NA;NA;11.96551724137931;1999-03-01;2000-02-29;1999;No merge and no split;Berkley;Berkley (2001) [1999–2000];Observational;single centre;Kenya;Africa;low;1991–2000;na;18;NA;19;NA;NA;1;NA;NA;1;NA;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.3333333333333333;0.502023274634812;0.16464339203185474;33.33333333333333;0.08606629658238706
189;26;Not specified;53;136;25;2003-06-01;2005-07-01;2004;No merge and no split;Gurley;Gurley (2009) [2003–2005];Observational;multicentre;Bangladesh;Asia;low;2001–2010;na;23;136;25;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;13;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.13756613756613756;0.19044485844784048;0.08468741668443462;13.756613756613756;0.02697893922535864
223;74;Neonates and children;NA;NA;53.96666666666667;1994-01-01;1998-06-30;1996;No merge and no split;Mwangi;Mwangi (2002) [1994–1998];Observational;single centre;Kenya;Africa;low;1991–2000;na;92;2;77;NA;NA;NA;2;13;NA;NA;37;NA;33;0;13;NA;NA;NA;0;9;NA;NA;19;NA;0.33183856502242154;0.4074464462932894;0.2562306837515536;33.18385650224215;0.03857544962799383
152;29;Neonates;NA;NA;107.96774193548387;2001-01-01;2009-12-31;2005;No merge and no split;Talbert;Talbert (2010) [2001–2009];Observational;single centre;Kenya;Africa;low;2001–2010;na;17;1;9;NA;6;16;NA;NA;NA;NA;46;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.19078947368421054;0.26022975672357646;0.12134919064484456;19.078947368421055;0.0354287158364112
257;12;Neonates and children;115;162;71.96774193548387;1997-01-01;2002-12-31;2000;No merge and no split;Namani;Namani (2012) [1997–2002];Observational;single centre;Kosovo;Europe;high;1991–2000;na;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.04669260700389105;0.07311143644229572;0.020273777565486387;4.669260700389105;0.013478994611430952
83;8;Children and adults;NA;NA;131.96774193548387;2000-01-01;2010-12-31;2005;merge time and age;Namani;Namani (2014) [2000–2010];Observational;single centre;Kosovo;Europe;high;2001–2010;na;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0963855421686747;0.16317731523497025;0.02959376910237913;9.63855421686747;0.0340774352379059
45;10;Neonates;20;25;59.96666666666667;1983-07-01;1988-06-30;1985;No merge and no split;Zaki;Zaki (1990) [1983–1988];Observational;single centre;Kuwait;Asia;high;1981–1990;na;4;NA;NA;14;5;7;1;2;1;3;8;NA;0;NA;NA;2;1;2;1;1;0;1;2;NA;0.2222222222222222;0.3599569825317783;0.08448746191266615;22.22222222222222;0.07027283689263066
42;1;Children;NA;NA;11.967741935483872;2001-01-01;2001-12-31;2001;No merge and no split;Shabani;Shabani (2006) [2001–2001];Observational;multicentre;Kuwait;Asia;high;1991–2000;na;10;7;1;NA;NA;2;NA;NA;NA;NA;1;21;0;0;1;NA;NA;0;NA;NA;NA;NA;0;0;0.023809523809523808;0.07047619047619047;-0.022857142857142854;2.380952380952381;0.023809523809523808
57;5;Children;NA;NA;59.96774193548387;2010-01-01;2014-12-31;2012;No merge and no split;Sadeq;Sadeq (2017) [2010–2014];Observational;multicentre;Kuwait;Asia;high;After 2010;na;23;10;7;NA;NA;5;NA;NA;NA;NA;11;NA;3;1;1;NA;NA;0;NA;NA;NA;NA;0;NA;0.08771929824561403;0.16460865326139626;0.010829943229831796;8.771929824561402;0.0392292627631542
83;26;Children;NA;NA;23.93548387096774;1998-06-11;2000-06-09;1999;No merge and no split;Migliani;Migliani (2002) [1998–2000];Observational;multicentre;Madagascar;Africa;low;1991–2000;na;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.3132530120481928;0.43366359333303445;0.19284243076335114;31.32530120481928;0.06143397004328656
18;2;Neonates;3;15;11.966666666666667;2012-07-01;2013-06-30;2012;No merge and no split;Softic;Softic (2015) [2012–2013];Observational;single centre;Bosnia and Herz.;Europe;high;After 2010;na;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;17;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.1111111111111111;0.2651032545695148;-0.04288103234729257;11.11111111111111;0.07856742013183861
598;200;Children;261;337;44.96774193548387;1997-07-01;2001-03-31;1999;No merge and no split;Molyneux;Molyneux (2002) [1997–2001];Interventional;single centre;Malawi;Africa;low;1991–2000;na;238;67;170;NA;NA;NA;NA;NA;NA;NA;45;78;93;3;49;NA;NA;NA;NA;NA;NA;NA;21;21;0.33444816053511706;0.3808003107399877;0.2880960103302464;31.270903010033447;0.023649056226974826
322;162;Adults;NA;NA;32.96774193548387;2002-05-01;2005-01-31;2003;No merge and no split;Scarborough;Scarborough (2007) [2002–2005];Interventional;single centre;Malawi;Africa;low;2001–2010;na;275;20;3;NA;11;NA;2;NA;NA;NA;14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5031055900621118;0.5805798982616813;0.42563128186254223;50.31055900621118;0.0395277082650865
211;58;Children;NA;NA;30.93548387096774;2004-04-01;2006-10-30;2005;No merge and no split;Mankhambo;Mankhambo (2010) [2004–2006];Observational;single centre;Malawi;Africa;low;2001–2010;na;144;10;7;NA;NA;NA;NA;NA;NA;NA;50;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.27488151658767773;0.34562519093598704;0.20413784223936846;27.488151658767773;0.036093711402198615
116;64;Adults;NA;NA;23.419354838709676;2006-09-10;2008-08-23;2007;No merge and no split;Ajdukiewicz;Ajdukiewicz (2011) [2006–2008];Interventional;single centre;Malawi;Africa;low;2001–2010;na;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5517241379310345;0.686896551724138;0.416551724137931;55.172413793103445;0.06896551724137934
360;93;Children and adults;NA;NA;48.96774193548387;2008-03-01;2012-03-31;2010;No merge and no split;Molyneux;Molyneux (2014) [2008–2012];Interventional;single centre;Malawi;Africa;low;2001–2010;na;190;NA;30;NA;NA;NA;NA;NA;NA;NA;25;115;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.25833333333333336;0.3108376541431839;0.20582901252348282;25.833333333333336;0.026787918780535984
117;66;Adults;NA;NA;21.967741935483872;2012-01-01;2013-10-31;2012;No merge and no split;Wall;Wall (2017) [2012–2013];Observational;single centre;Malawi;Africa;low;After 2010;na;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5641025641025641;0.7001975664366367;0.42800756176849164;56.41025641025641;0.06943622568064924
260;104;Neonates and children;NA;NA;11;1996-04-01;1997-03-01;1996;No merge and no split;Molyneux;Molyneux (1998) [1996–1997];Observational;single centre;Malawi;Africa;low;1991–2000;na;59;NA;42;NA;NA;17;NA;NA;NA;NA;31;75;27;NA;18;NA;NA;2;NA;NA;NA;NA;15;28;0.4;0.47687752497416813;0.3231224750258319;40;0.03922322702763679
248;123;Adults;NA;NA;11.967741935483872;1998-04-01;1999-03-31;1998;No merge and no split;Gordon;Gordon (2000) [1998–1999];Observational;single centre;Malawi;Africa;low;1991–2000;na;88;64;NA;NA;NA;NA;NA;NA;NA;NA;96;NA;54;14;NA;NA;NA;NA;NA;NA;NA;NA;55;NA;0.4959677419354839;0.5836187562603324;0.4083167276106352;49.596774193548384;0.04471990526777991
71;9;Children;30;41;11.967741935483872;1995-01-01;1995-12-31;1995;No merge and no split;Hussain;Hussain (1998) [1995–1995];Observational;multicentre;Malaysia;Asia;high;1991–2000;na;8;2;28;NA;3;2;NA;NA;NA;NA;15;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.1267605633802817;0.20957746478873238;0.043943661971830986;12.676056338028168;0.042253521126760556
528;157;Children and adults;NA;NA;13;1989-05-01;1990-06-01;1989;No merge and no split;Pecoul;Pecoul (1991) [1989–1990];Interventional;multicentre;Multinational;Africa;low;1981–1990;na;115;161;133;NA;NA;NA;1;NA;NA;NA;16;102;77;21;48;NA;NA;NA;NA;NA;NA;NA;11;NA;0.29734848484848486;0.34386123031976834;0.2508357393772014;29.734848484848484;0.02373099258738953
21;6;Neonates;8;13;119.96774193548387;1997-01-01;2006-12-31;2001;No merge and no split;Bentlin;Bentlin (2010) [1997–2006];Observational;single centre;Brazil;S-America;high;1991–2000;na;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.2857142857142857;0.514333328374049;0.05709524305452245;27.27272727272727;0.11664236870396086
218;36;Children and adults;87;131;119.96774193548387;1993-01-01;2002-12-31;1997;No merge and no split;Franco;Franco (2008) [1993–2002];Observational;single centre;Mexico;S-America;high;1991–2000;na;67;4;109;NA;NA;NA;NA;NA;NA;NA;14;24;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.1651376146788991;0.21908256880733945;0.11119266055045873;16.51376146788991;0.027522935779816512
254;24;Children;NA;NA;107.96774193548387;2002-01-01;2010-12-31;2006;No merge and no split;Scott;Scott (2013) [2002–2010];Observational;multicentre;Mongolia;Asia;high;2001–2010;na;63;109;62;NA;NA;NA;NA;NA;NA;NA;20;NA;8;5;9;NA;NA;NA;NA;NA;NA;NA;2;NA;0.09448818897637795;0.13229133776263802;0.056685040190117886;9.448818897637794;0.01928732080931636
65;23;Neonates and children;29;36;64.96666666666667;1998-07-01;2003-11-30;2001;No merge and no split;Sigauque;Sigauque (2008) [1998–2003];Observational;single centre;Mozambique;Africa;low;1991–2000;na;29;7;11;NA;NA;NA;NA;NA;NA;NA;18;NA;13;0;6;NA;NA;NA;NA;NA;NA;NA;4;NA;0.35384615384615387;0.49845891977989126;0.20923338791241647;35.38461538461539;0.07378202343558031
43;11;Neonates and children;NA;NA;11.967741935483872;2006-01-09;2007-01-08;2006;No merge and no split;Roca;Roca (2009) [2006–2007];Observational;single centre;Mozambique;Africa;low;2001–2010;na;9;7;14;NA;1;NA;4;2;2;NA;4;NA;4;0;3;NA;1;NA;NA;NA;2;NA;1;NA;0.2558139534883721;0.4069903392813159;0.10463756769542829;25.581395348837212;0.07713080907803255
22831;2415;Not specified;NA;NA;11.967741935483872;2010-01-01;2010-12-31;2010;No merge and no split;World Health Organization;World Health Organization (2011) [2010–2010];Observational;multicentre;Multinational;Africa;low;2001–2010;na;345;1218;47;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.10577723270991196;0.10999604016566931;0.10155842525415461;10.577723270991196;0.00215245278354967
654;86;Children;NA;377;95.96774193548387;1996-01-01;2003-12-31;1999;No merge and no split;Peltola;Peltola (2007) [1996–2003];Interventional;multicentre;Multinational;S-America;low;1991–2000;na;132;110;221;NA;NA;NA;NA;NA;NA;NA;21;170;30;1;32;NA;NA;NA;NA;NA;NA;NA;9;14;0.13149847094801223;0.15929096674491067;0.10370597515111381;13.149847094801222;0.014179844794335934
76;15;Neonates;NA;NA;11.967741935483872;2005-01-01;2005-12-31;2005;No merge and no split;Tiskumara;Tiskumara (2009) [2005–2005];Observational;multicentre;Multinational;Asia;low;2001–2010;na;NA;NA;1;1;10;1;3;3;2;NA;55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.19736842105263158;0.2972506231390334;0.09748621896622978;19.736842105263158;0.050960307186939696
1263;121;Children;NA;NA;83.96774193548387;2004-01-01;2010-12-31;2007;No merge and no split;Teleb;Teleb (2013) [2004–2010];Observational;multicentre;Multinational;Asia;low;2001–2010;na;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0958036421219319;0.11287410926365796;0.07873317498020585;9.58036421219319;0.008709422011084721
18;6;Neonates and children;9;9;11.966666666666667;2012-05-01;2013-04-30;2012;No merge and no split;Shresta;Shresta (2015) [2012–2013];Observational;single centre;Nepal;Asia;low;After 2010;na;2;2;7;NA;3;3;NA;NA;NA;1;NA;NA;1;1;3;NA;1;0;NA;NA;0;NA;NA;NA;0.3333333333333333;0.6000555497697238;0.06661111689694287;33.33333333333333;0.1360827634879543
274;24;Not specified;114;160;23.967741935483872;1997-01-01;1998-12-31;1997;No merge and no split;Weiss;Weiss (2001) [1997–1998];Observational;multicentre;Brazil;S-America;high;1991–2000;na;21;53;26;NA;NA;NA;NA;NA;NA;NA;22;152;2;9;4;NA;NA;NA;NA;NA;NA;NA;2;7;0.08759124087591241;0.12263503573616809;0.052547446015656724;8.75912408759124;0.01787948717359984
280;75;Neonates;120;160;83.96774193548387;1976-01-01;1982-12-31;1979;No merge and no split;Mulder;Mulder (1984) [1976–1982];Observational;multicentre;Netherlands;Europe;high;1971–1980;na;6;3;2;12;132;68;7;NA;4;NA;46;NA;1;0;0;2;34;17;2;NA;1;NA;18;NA;0.26785714285714285;0.3284789211220535;0.20723536459223216;26.785714285714285;0.03092947870658708
696;143;Adults;351;345;42.96666666666667;1998-10-01;2002-04-30;2000;No merge and no split;van de Beek;van de Beek (2004) [1998–2002];Observational;multicentre;Netherlands;Europe;high;1991–2000;na;352;257;NA;NA;NA;NA;NA;NA;NA;NA;87;NA;107;19;NA;NA;NA;NA;NA;NA;NA;NA;17;NA;0.20545977011494254;0.23913533197769932;0.1717842082521857;20.545977011494255;0.01718140911365143
170;2;Children;NA;NA;131.96774193548387;1988-01-01;1998-12-31;1993;No merge and no split;Oostenbrink;Oostenbrink (2002) [1988–1998];Observational;multicentre;Netherlands;Europe;high;1991–2000;na;16;64;77;NA;NA;NA;NA;NA;NA;NA;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.011764705882352941;0.028069756366183918;-0.004540344601478037;1.1764705882352942;0.00831890330807703
227;20;Children;78;121;60;1971-09-01;1976-09-01;1974;No merge and no split;Lang;Lang (1977) [1971–1976];Observational;multicentre;New Zealand;Oceania;high;1971–1980;na;62;62;75;NA;NA;NA;NA;NA;NA;NA;4;24;16;2;2;NA;NA;NA;NA;NA;NA;NA;0;0;0.0881057268722467;0.12671976419294792;0.04949168955154549;8.81057268722467;0.019701039449337356
473;70;Not specified;149;220;5.966666666666667;2015-01-01;2015-06-30;2015;No merge and no split;Coldiron;Coldiron (2016) [2015–2015];Observational;multicentre;Niger;Africa;low;After 2010;na;12;182;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.14799154334038056;0.1826607537422154;0.11332233293854571;14.799154334038056;0.01768837265399737
4177;641;Not specified;NA;NA;95.96774193548387;1989-01-01;1996-12-31;1992;No merge and no split;Campagne;Campagne (1999) [1989–1996];Observational;multicentre;Niger;Africa;low;1991–2000;na;405;2843;306;NA;NA;NA;NA;NA;NA;NA;103;520;179;239;110;NA;NA;NA;NA;NA;NA;NA;40;73;0.1534594206368207;0.16533953471213667;0.1415793065615047;15.345942063682068;0.0060612826914877484
1935;304;Not specified;NA;NA;47.96774193548387;2003-01-01;2006-12-31;2004;No merge and no split;Boisier;Boisier (2007) [2003–2006];Observational;multicentre;Niger;Africa;low;2001–2010;na;303;1496;105;NA;NA;NA;NA;NA;NA;NA;31;NA;151;111;32;NA;NA;NA;NA;NA;NA;NA;10;NA;0.15710594315245477;0.17476680502189088;0.13944508128301866;15.710594315245476;0.009010643810936789
40;4;Children;NA;NA;7.967741935483871;1988-03-01;1988-10-31;1988;No merge and no split;Imuekehme;Imuekehme (1997) [1988–1988];Observational;single centre;Nigeria;Africa;low;1981–1990;na;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.1;0.198;0.0020000000000000018;10;0.05
156;38;Neonates and children;NA;NA;35.96774193548387;1964-01-01;1966-12-31;1965;merge age;Seriki;Seriki (1970) [1964–1966];Observational;single centre;Nigeria;Africa;low;1961–1970;na;44;2;59;NA;3;NA;NA;NA;NA;NA;19;29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.24358974358974358;0.32104007337063584;0.16613941380885133;24.358974358974358;0.03951547437800625
270;34;Children;122;148;59.96774193548387;2004-01-01;2008-12-31;2006;No merge and no split;Correa-Lima;Correa-Lima (2015) [2004–2008];Observational;single centre;Brazil;S-America;high;2001–2010;na;54;94;23;NA;NA;NA;NA;NA;NA;NA;15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.1259259259259259;0.168254317458877;0.08359753439297485;12.592592592592592;0.021596118129056673
447;137;Not specified;NA;NA;47.96774193548387;1976-01-01;1979-12-31;1977;No merge and no split;Onile;Onile (1982) [1976–1979];Observational;single centre;Nigeria;Africa;low;1971–1980;na;182;NA;100;NA;NA;NA;NA;NA;NA;NA;155;NA;75;NA;23;NA;NA;NA;NA;NA;NA;NA;37;NA;0.30648769574944074;0.3578103172819026;0.2551650742169788;30.648769574944073;0.026185010985949945
124;33;Children;36;88;71.96774193548387;1998-01-01;2003-12-31;2000;No merge and no split;Ogunlesi;Ogunlesi (2005) [1998–2003];Observational;single centre;Nigeria;Africa;low;1991–2000;na;42;7;42;NA;3;NA;3;NA;NA;NA;NA;27;8;3;10;NA;2;NA;2;NA;NA;NA;NA;8;0.2661290322580645;0.3569301837678591;0.17532788074826988;26.61290322580645;0.046327118117242154
62;28;Neonates and children;23;39;NA;NA;NA;2007;No merge and no split;Johnson;Johnson (2007);Observational;single centre;Nigeria;Africa;low;2001–2010;na;22;1;2;NA;NA;NA;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.45161290322580644;0.6188926635382773;0.2843331429133355;45.16129032258064;0.08534681648595455
36;12;Neonates;13;23;24;1988-01-01;1990-01-01;1988;No merge and no split;Airede;Airede (1993) [1988–1990];Observational;single centre;Nigeria;Africa;low;1981–1990;na;3;NA;NA;NA;3;NA;11;NA;1;4;4;10;2;NA;NA;NA;0;NA;5;NA;1;2;2;NA;0.3333333333333333;0.5219344212686111;0.14473224539805557;33.33333333333333;0.09622504486493764
50;17;Neonates;NA;NA;47.96774193548387;1992-01-01;1995-12-31;1993;No merge and no split;Airede;Airede (2008) [1992–1995];Observational;single centre;Nigeria;Africa;low;1991–2000;na;4;2;1;NA;11;NA;13;NA;1;NA;18;NA;1;1;1;NA;4;NA;5;NA;0;5;NA;NA;0.34;0.5016257405242123;0.17837425947578772;34;0.0824621125123532
92;4;Children;NA;NA;167.96774193548387;1980-01-01;1993-12-31;1986;No merge and no split;Kaaresen;Kaaresen (1995) [1980–1993];Observational;single centre;Norway;Europe;high;1981–1990;na;7;38;45;NA;NA;NA;NA;NA;NA;NA;2;NA;0;1;3;NA;NA;NA;NA;NA;NA;NA;0;NA;0.043478260869565216;0.08608695652173913;8.695652173913051e-4;4.3478260869565215;0.021739130434782608
68;6;Children and adults;8;60;23.966666666666665;1998-05-01;2000-04-30;1999;No merge and no split;Ahsan;Ahsan (2002) [1998–2000];Observational;single centre;Pakistan;Asia;low;1991–2000;na;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.08823529411764706;0.15883823376257394;0.01763235447272017;8.823529411764707;0.036021907982105555
192;43;Adults;48;146;90;1995-01-01;2002-07-01;1998;No merge and no split;Rabbani;Rabbani (2003) [1995–2002];Observational;single centre;Pakistan;Asia;low;1991–2000;na;35;30;NA;NA;7;NA;8;NA;4;4;5;99;6;3;NA;NA;6;NA;3;NA;4;3;3;15;0.22395833333333334;0.2908988516022496;0.15701781506441706;22.395833333333336;0.03415332564740626
188;64;Neonates and children;NA;NA;41.96774193548387;2008-07-01;2011-12-31;2010;No merge and no split;Khowaja;Khowaja (2013) [2008–2011];Observational;multicentre;Pakistan;Asia;low;2001–2010;na;51;NA;26;NA;NA;NA;NA;NA;NA;NA;NA;111;14;NA;7;NA;NA;NA;NA;NA;NA;NA;NA;43;0.3404255319148936;0.4238297872340426;0.2570212765957447;34.04255319148936;0.04255319148936171
17;11;Neonates;NA;NA;11.967741935483872;1985-01-01;1985-12-31;1985;No merge and no split;Mir;Mir (1987) [1985–1985];Observational;single centre;Pakistan;Asia;low;1981–1990;na;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6470588235294118;1.029446152299799;0.26467149475902446;64.70588235294117;0.19509557590325882
3973;1312;Not specified;NA;NA;119.96774193548387;1973-01-01;1982-12-31;1977;merge age;Bryan;Bryan (1990) [1973–1982];Observational;single centre;Brazil;S-America;high;1971–1980;na;670;881;898;0;0;0;0;136;13;0;624;733;391;119;331;0;0;0;0;117;11;0;166;177;0.33022904606091114;0.3480982178411773;0.31235987428064504;33.02290460609111;0.009116924377686795
